,id_,first_name,last_name,state,city,postal_code,building_name,street_name,phone,date_of_first_deal
23,2918860,Shayak,Kala,Jharkhand,Bettiah,952054,45/48,Brahmbhatt Ganj,+917196302618,2024-06-01
24,2502092,Aarav,Subramaniam,Himachal Pradesh,Aizawl,705607,08/766,Chauhan,08055146721,2024-04-28
25,2755958,Miraan,Raja,Karnataka,Farrukhabad,034954,69/53,Dar Chowk,08725756329,2022-10-08
26,2602250,Jhanvi,Sandal,Rajasthan,Amroha,666915,63/44,Raj Chowk,3423432794,2023-09-03
27,2615393,Manjari,Upadhyay,Himachal Pradesh,Anantapur,449827,72,Sant Zila,6024799039,2024-01-28
28,2659195,Ishaan,Wason,Nagaland,Dindigul,250748,01,Mani Marg,3071132546,2023-04-03
29,2715317,Kartik,Mann,Arunachal Pradesh,Chennai,186437,11/48,Bumb,+918221034557,2022-10-08
30,2621341,Amira,Dube,Rajasthan,Dewas,597018,H.No. 753,Ravel Street,1815077517,2022-10-10
31,2501551,Mannat,Mand,Gujarat,Jaipur,837563,92/09,Dara Zila,6834193826,2022-09-21
32,2730487,Mamooty,Wagle,Arunachal Pradesh,Pallavaram,450573,51/89,Bhatt Road,05444025508,2023-03-09
33,2927287,Rati,Date,Tripura,Amritsar,079582,06,Sangha Circle,05171963050,2024-02-05
34,2700158,Tanya,Sarna,Himachal Pradesh,Nangloi Jat,884191,20/866,Kuruvilla,09789936558,2023-03-02
35,2755858,Aaina,Sarma,Punjab,Amroha,399753,08/324,Shere Chowk,06996910203,2022-06-15
36,2681017,Anahi,Ramesh,Tamil Nadu,Nagercoil,725717,72,Tank Nagar,+915702669892,2023-10-24
37,2624639,Dhanuk,Balakrishnan,Meghalaya,Panihati,469559,87/15,Badami Zila,5649824159,2022-07-19
38,2638822,Farhan,Tiwari,Maharashtra,Ambarnath,672725,H.No. 986,Bobal Circle,+916538102491,2022-06-24
39,2894022,Aarna,Ganesan,Gujarat,Bhind,662189,H.No. 157,Bose Path,07132317874,2023-06-19
40,2609311,Kimaya,Mangal,Sikkim,Katihar,757404,07/51,Rana Zila,08676037944,2023-03-16
41,2797188,Farhan,Ratta,Andhra Pradesh,Ratlam,702794,074,Dhaliwal Marg,09657389688,2024-02-27
42,2909441,Rhea,Chatterjee,Chhattisgarh,Mathura,060567,H.No. 31,Chadha,9614502994,2024-06-07
43,2806353,Emir,Ganguly,Arunachal Pradesh,Etawah,257877,H.No. 281,Mand Circle,00327460949,2024-05-21
44,2828588,Farhan,Khare,Uttarakhand,Raipur,041461,72,Khosla Marg,4435051713,2022-06-26
45,2733734,Jiya,Issac,Himachal Pradesh,Proddatur,547269,771,Sama Path,2226338396,2024-05-04
46,2928456,Aradhya,Chopra,Goa,Sambhal,174241,49/867,Sodhi Chowk,7897951327,2023-03-16
47,2835871,Reyansh,Ratti,Odisha,Gangtok,894816,44,Thakur,+914101931587,2023-05-15
48,2826268,Kaira,Devi,Uttar Pradesh,Ujjain,811276,43/63,Krishnamurthy Circle,04678987404,2023-05-20
49,2702507,Drishya,Sahota,Maharashtra,Dewas,839997,55/556,Vaidya Street,09222553706,2022-07-23
50,2986595,Divit,D’Alia,Punjab,Warangal,506960,52/97,Seshadri Street,5061941726,2022-12-19
51,2924537,Ehsaan,Dewan,Uttarakhand,Thanjavur,622594,49,Krishnamurthy Nagar,+919292134393,2022-08-16
52,2712960,Madhup,Sanghvi,Sikkim,Giridih,715217,H.No. 273,Sekhon Ganj,03906362167,2023-04-24
53,2921509,Chirag,Sanghvi,West Bengal,Udupi,853249,392,Rattan Road,+915887880111,2022-08-01
54,2692248,Seher,Jhaveri,Punjab,Shivpuri,301334,01/41,Bassi Path,4666014589,2023-08-31
55,2683083,Ishaan,Maharaj,Jharkhand,Gulbarga,194094,68/242,Chad Zila,09536599191,2023-01-09
56,2722402,Prisha,Sarraf,Kerala,Unnao,526138,H.No. 46,Dhaliwal,07930609301,2022-07-24
57,2645858,Nirvi,Ranganathan,Tripura,Amritsar,686989,47/242,Hora Ganj,9514342784,2023-02-27
58,2794915,Aaryahi,Roy,Mizoram,Aligarh,266478,H.No. 182,Dasgupta,00561214575,2022-10-11
59,2712433,Hazel,Shanker,Maharashtra,Burhanpur,550245,37,Chandra,02063362747,2024-05-09
60,2756116,Eshani,Krish,Nagaland,Guntakal,518707,753,Devi,02252459795,2023-02-01
61,2526229,Kabir,Dugal,Mizoram,Panihati,816515,289,Jain Nagar,+914682247145,2023-09-23
62,2725906,Darshit,Bera,Goa,Munger,355032,75/60,Tank Marg,03393341721,2023-10-09
63,2689369,Bhamini,Joshi,Karnataka,Gurgaon,110578,968,Bansal Ganj,0953707639,2022-11-13
64,2792397,Pranay,Savant,Karnataka,Guntakal,626354,H.No. 32,Babu Ganj,03064668508,2023-05-28
65,2991341,Divyansh,Khatri,Nagaland,Chandigarh,573949,61/85,Joshi Ganj,0892415166,2022-09-23
66,2503567,Jayesh,Sarma,Arunachal Pradesh,Raurkela Industrial Township,763742,H.No. 775,Sarna Marg,+917754660980,2023-04-02
67,2514467,Arnav,Gera,Arunachal Pradesh,Pudukkottai,807478,H.No. 24,Dhar Zila,+912533047727,2023-05-24
68,2897941,Amira,Kalita,Tamil Nadu,Nagaon,996423,751,Ahuja Circle,+914640753160,2023-06-07
69,2584570,Rasha,Ghose,Rajasthan,Srikakulam,353861,15/87,Desai Marg,06937285168,2024-05-07
70,2645012,Riaan,Srinivasan,Gujarat,Amravati,260507,50/35,Dalal Ganj,+917852307723,2023-02-10
71,2787317,Zeeshan,Kari,Gujarat,Durg,645853,93/509,Chakraborty Road,09765525800,2022-12-27
72,2805705,Tiya,Mandal,Kerala,Satara,584115,66,Kakar Zila,06568963776,2022-07-23
73,2980219,Ritvik,Sagar,Nagaland,Shimoga,949890,73/925,Uppal Zila,+918526786396,2024-05-20
74,2874481,Nirvaan,Basak,Tripura,Gandhinagar,932212,87/730,Ram Road,00993877702,2023-04-03
75,2649796,Tiya,Sanghvi,Nagaland,Anantapur,871557,51/659,Madan Circle,4194957358,2023-12-07
76,2985684,Rhea,Varkey,Punjab,Bhagalpur,281286,65/559,Tank Chowk,8135582499,2023-02-09
77,2791204,Trisha,Saraf,Assam,Ludhiana,235788,565,Dhingra Marg,01952720549,2022-10-27
78,2654284,Zeeshan,Agrawal,Chhattisgarh,Jalgaon,175279,725,Kala Nagar,+918338674100,2023-09-29
79,2879761,Baiju,Gandhi,Goa,Rajpur Sonarpur,901849,81,Sethi Circle,0275664917,2024-01-27
80,2763696,Fateh,Dar,Rajasthan,Ambala,855268,H.No. 95,Seth Street,+918655062734,2022-11-24
81,2736410,Vidur,Ravel,Uttarakhand,Etawah,196622,027,Garg Circle,06547772736,2023-02-06
82,2805652,Madhav,Zacharia,Arunachal Pradesh,Warangal,835818,37/867,Korpal Marg,5511321669,2024-06-04
83,2550223,Jiya,Seth,Uttarakhand,Sambalpur,097939,H.No. 330,Rau,8226604583,2023-10-11
84,2850908,Siya,Saini,Odisha,Rajahmundry,165468,62,Koshy Ganj,+914089941760,2023-07-11
85,2644084,Ivan,Krish,Gujarat,Panchkula,579088,H.No. 485,Solanki Nagar,1525077849,2024-06-05
86,2584966,Riaan,Dyal,Jharkhand,Bhalswa Jahangir Pur,027436,98/753,Kanda Chowk,7875820207,2023-03-29
87,2952165,Elakshi,Desai,Mizoram,Satna,935226,H.No. 709,Thaker Street,9049059060,2022-07-17
88,2751579,Emir,Mane,Haryana,Delhi,080547,767,Kapoor Zila,4986408635,2023-11-24
89,2906071,Vanya,Bala,Punjab,Pudukkottai,661107,64/39,Karnik Zila,09471547787,2022-11-14
90,2891080,Chirag,Bhardwaj,Jharkhand,Kottayam,361114,478,Taneja Chowk,5091926669,2022-06-19
91,2726811,Shanaya,Kar,Meghalaya,Bhubaneswar,545263,H.No. 50,Sachdev Nagar,0942290494,2022-09-10
92,2950631,Sara,Korpal,Bihar,Lucknow,515505,66,Kara,07646469613,2022-09-03
93,2989988,Azad,Kapoor,Haryana,Kharagpur,674604,H.No. 768,Rama Circle,+915129518366,2023-01-13
94,2528491,Shanaya,Sahni,Assam,Alappuzha,489101,58/504,Ramachandran Road,+915347759993,2023-09-06
95,2926419,Nitya,Ramakrishnan,West Bengal,Hosur,483979,193,Tripathi,8907529690,2023-12-26
96,2715794,Nehmat,Gandhi,Meghalaya,Panihati,533805,19/688,Dara Zila,04895732224,2022-10-21
97,2740803,Eshani,Chaudry,Rajasthan,Gulbarga,818804,H.No. 67,Saxena Road,8413758378,2022-11-21
98,2593570,Nirvi,Sama,Odisha,Pune,653555,H.No. 671,Swamy Chowk,08386405472,2023-05-26
99,2879973,Nishith,Yadav,Arunachal Pradesh,Begusarai,664287,H.No. 15,Bobal Path,8720199011,2023-01-15
100,2555557,Aaryahi,Chakraborty,Gujarat,Surat,009797,84/92,Hora Circle,+912808513819,2023-10-11
101,2526674,Reyansh,Karnik,Haryana,Darbhanga,921681,93/85,Atwal Nagar,+918886870262,2024-06-06
102,2686984,Oorja,Rau,Tamil Nadu,Unnao,545420,14/941,Venkataraman Street,03728010478,2023-10-28
103,2781374,Arhaan,Gulati,Madhya Pradesh,Guna,882155,84/807,Vaidya Marg,03187560073,2024-04-02
104,2895108,Anika,Kalla,Madhya Pradesh,Surat,723895,57/071,Sheth Zila,06290836916,2024-04-25
105,2513793,Ivan,Swamy,Punjab,Bidar,573776,H.No. 120,Aggarwal Circle,2806293981,2022-08-13
106,2924325,Elakshi,Bhatnagar,Mizoram,Mirzapur,107587,19,Sathe Zila,3959138333,2024-01-26
107,2910815,Stuvan,Lala,Punjab,Kharagpur,712766,73,Butala Path,04799801983,2023-05-17
108,2529355,Amira,Andra,Haryana,Bhopal,444991,05/20,Raman Marg,+911222351807,2022-08-04
109,2533786,Kimaya,Madan,Rajasthan,Haldia,920584,11,Chander Marg,+914856781507,2023-12-21
110,2972417,Adah,Goda,Gujarat,Danapur,978511,460,Lal Circle,4150415846,2023-03-24
111,2966281,Manjari,Anand,Kerala,Orai,282155,H.No. 59,Sahota Chowk,4113738642,2023-11-07
112,2564472,Sana,Walia,Jharkhand,Hindupur,246490,06/961,Sawhney Circle,02293316102,2022-11-14
113,2858617,Riya,Hayre,Haryana,Jhansi,444696,36,Desai Nagar,5058819573,2024-02-20
114,2582471,Rohan,Rastogi,Odisha,Raichur,625159,H.No. 98,Cheema Path,+912425396754,2022-07-11
115,2807088,Dishani,Hans,Sikkim,Guwahati,707700,16/71,Kalita Street,3808017746,2023-06-19
116,2738866,Dhanuk,Varughese,Telangana,New Delhi,097324,27,Chawla Circle,3404776255,2023-04-28
117,2902944,Aaina,Dash,Arunachal Pradesh,Kishanganj,351022,81,Jayaraman,+913972742560,2023-11-22
118,2833851,Badal,Venkataraman,Uttarakhand,Lucknow,723118,H.No. 27,Srivastava,+910851659245,2023-04-02
119,2995070,Saksham,Dugar,Madhya Pradesh,Proddatur,616479,91/70,Varkey Nagar,03454323925,2022-10-21
120,2578615,Darshit,Amble,Nagaland,Kavali,861187,02/286,Saxena,08994003469,2023-08-30
121,2967161,Dhanuk,Loyal,Tripura,Jammu,847825,804,Gupta Marg,2060589596,2023-01-26
122,2610219,Himmat,Koshy,West Bengal,Bhavnagar,717836,H.No. 247,Kohli,+911253335673,2023-04-06
123,2794125,Kartik,Chhabra,Karnataka,North Dumdum,799812,364,Vohra,06623572890,2023-08-01
124,2525803,Reyansh,Guha,Mizoram,Anantapuram,643432,73/215,Ganesh Road,1888765723,2024-01-31
125,2733199,Shlok,Sandhu,Tamil Nadu,Eluru,698528,44,Lad Zila,00843215520,2022-06-17
126,2579425,Aarav,Balan,Tamil Nadu,Tadepalligudem,733645,10,Krishna Chowk,0895134114,2024-05-29
127,2975589,Damini,Vora,Maharashtra,Sikar,149773,H.No. 24,Kadakia Street,09176462615,2023-06-06
128,2545070,Dhruv,Swamy,Tripura,Jhansi,852794,H.No. 488,Dubey Marg,+918621692328,2023-09-24
129,2602416,Emir,Vaidya,Tamil Nadu,Shivpuri,302880,H.No. 671,Sabharwal Nagar,06611745143,2023-01-22
130,2844827,Gokul,Yadav,Madhya Pradesh,Shahjahanpur,102866,33,Garde Nagar,3424714633,2023-02-16
131,2826144,Aarav,Devan,Gujarat,Jamshedpur,704389,H.No. 04,Soni Nagar,03100757892,2023-02-23
132,2826313,Vedika,Chokshi,Punjab,Naihati,433470,H.No. 17,Swamy,04939171671,2023-10-24
133,2940233,Tanya,Raman,Telangana,Ambala,359104,H.No. 108,Tailor Circle,09936736945,2024-03-14
134,2987506,Saksham,Golla,Kerala,Mahbubnagar,419152,95/321,Biswas Circle,01512603332,2022-10-18
135,2635847,Dhanuk,Kadakia,Nagaland,Mirzapur,489024,H.No. 572,Bhalla Chowk,+919051193142,2022-07-05
136,2906493,Ira,Kala,Andhra Pradesh,Asansol,412837,745,Bhavsar Ganj,+918185791129,2023-04-06
137,2721636,Neysa,Deol,Chhattisgarh,Navi Mumbai,352191,45,Chawla Nagar,+914302294781,2023-11-12
138,2996977,Piya,Bawa,Tamil Nadu,Bally,593731,18,Uppal Nagar,05236402470,2024-02-17
139,2930170,Raunak,Sama,Andhra Pradesh,Hindupur,296261,51,Magar Ganj,0700945704,2023-12-19
140,2529783,Khushi,Vora,Uttar Pradesh,Chennai,125912,97,Sani Ganj,6449190760,2022-06-25
141,2729510,Arnav,Jha,Himachal Pradesh,Bidar,992601,11/799,Raju Marg,09855228193,2022-10-02
142,2679372,Heer,Dhaliwal,Nagaland,Proddatur,090754,63/32,Chatterjee Nagar,1674285530,2022-10-23
143,2669260,Uthkarsh,Sinha,Maharashtra,Nandyal,237840,67,Mani Path,6369209317,2022-12-17
144,2721678,Aarush,Kapur,Madhya Pradesh,Bulandshahr,342628,71/290,Ranganathan Circle,+912383791288,2022-08-14
145,2710252,Kaira,Dasgupta,Nagaland,Gudivada,446413,91/285,Bajwa Road,9403124992,2023-03-14
146,2863112,Alia,Kapoor,Haryana,Udaipur,486498,24/969,Bakshi Circle,4338031852,2023-07-16
147,2697459,Dishani,Chaudhari,Chhattisgarh,Darbhanga,785711,915,Chahal Zila,5256866571,2023-11-02
148,2570483,Yashvi,Sastry,Tamil Nadu,Mirzapur,557462,18/683,Agarwal Marg,00601793060,2023-05-27
149,2978827,Neelofar,Kala,Haryana,Kumbakonam,403354,H.No. 492,Mallick Circle,4789659642,2023-02-21
150,2543638,Divyansh,Dugar,Mizoram,Panchkula,840598,312,Hayre Ganj,04528076359,2024-05-19
151,2530536,Vanya,Sangha,Haryana,Ranchi,370057,H.No. 21,Chowdhury Street,+917787864624,2023-06-28
152,2681686,Rasha,Venkataraman,Tamil Nadu,Bettiah,468565,H.No. 981,Solanki Ganj,1999208800,2023-09-20
153,2843530,Shanaya,Jayaraman,Rajasthan,Shimoga,324209,H.No. 564,Ravi Nagar,3444213359,2023-01-17
154,2590108,Kashvi,Zacharia,Uttarakhand,Hazaribagh,498524,67,Rajan Street,4250356904,2023-11-19
155,2755572,Eva,Bala,Rajasthan,Bhavnagar,502509,99/12,Tata Chowk,03880209558,2024-04-03
156,2767960,Eshani,Gera,Arunachal Pradesh,New Delhi,358115,H.No. 822,Sheth Path,01067488219,2023-09-24
157,2532047,Vidur,Doctor,Tamil Nadu,Dibrugarh,095555,H.No. 591,Kothari Marg,+916324063910,2022-08-13
158,2525940,Mishti,Arora,Goa,Jorhat,860036,H.No. 262,Dayal Zila,5764181373,2023-04-17
159,2712695,Hazel,Tripathi,Chhattisgarh,Patna,811567,62,Sura Street,7117931914,2023-09-13
160,2811900,Diya,Mangat,Meghalaya,Allahabad,989945,H.No. 770,Chandra Ganj,+912691111308,2022-06-19
161,2554038,Khushi,Maharaj,Haryana,Parbhani,887399,14/71,Ravel,+917902651148,2023-01-24
162,2569534,Krish,Balan,Tripura,Gandhinagar,156075,55/31,Khare Ganj,6853477400,2023-07-15
163,2839425,Ela,Soni,Mizoram,Bhind,635408,H.No. 935,Gaba Path,00504667397,2023-07-16
164,2836603,Rasha,Mander,Bihar,Orai,488945,639,Saha Nagar,0659385665,2022-09-13
165,2853014,Sumer,Dalal,Arunachal Pradesh,Karimnagar,028511,43/06,Karan Street,7437988232,2023-12-28
166,2600201,Anya,Guha,Haryana,Sultan Pur Majra,536567,15/55,Atwal Circle,+915907196074,2023-08-21
167,2920241,Taran,Acharya,Haryana,Miryalaguda,221679,48/39,Ray Nagar,00723295043,2022-06-21
168,2969660,Pranay,Ganesh,Mizoram,Jaipur,740502,81/585,Dave Ganj,02339137235,2024-01-22
169,2524176,Anaya,Reddy,Tamil Nadu,Kakinada,690106,H.No. 090,Goyal Road,+919355497016,2023-02-17
170,2854492,Nitya,Saran,Haryana,Bhalswa Jahangir Pur,727817,92/669,Comar Marg,04636281493,2022-07-22
171,2566963,Kimaya,Thaman,Mizoram,Baranagar,962133,946,Chana Chowk,09224963654,2023-09-26
172,2744311,Dhanuk,Kapur,Andhra Pradesh,Gangtok,240536,72/69,Jain Path,+919966542878,2023-10-10
173,2625610,Yakshit,Doctor,Arunachal Pradesh,Gorakhpur,959995,65,Yogi Zila,9986344125,2022-11-29
174,2872610,Faiyaz,Doshi,Arunachal Pradesh,Morena,776679,77,Bhat,+919000547416,2022-07-17
175,2745792,Nirvi,Vala,Tripura,Bhilai,782203,420,Wadhwa Circle,09607501173,2024-01-14
176,2830328,Priyansh,Borde,West Bengal,Anantapuram,414533,H.No. 075,Singhal Street,+915179875177,2022-11-16
177,2745038,Ivana,Sodhi,Jharkhand,Delhi,434266,16/49,Kamdar,+914844801118,2023-06-08
178,2996249,Hiran,Sur,Himachal Pradesh,Muzaffarnagar,839848,952,Aurora Chowk,01339633131,2022-11-14
179,2754906,Dharmajan,Kashyap,Mizoram,Mau,796953,369,Kulkarni Path,+916207920082,2022-07-10
180,2928705,Ranbir,Sagar,Kerala,Howrah,339446,H.No. 77,Handa Zila,08458685357,2023-05-14
181,2827875,Vedika,Chakraborty,Haryana,North Dumdum,105798,972,Magar Nagar,3602105247,2022-12-18
182,2892980,Mannat,Sethi,Tamil Nadu,Proddatur,767039,90,Ahuja,+917364073399,2023-06-17
183,2507034,Elakshi,Banerjee,Punjab,Serampore,967456,565,Savant Marg,1172251932,2022-07-02
184,2648925,Aarna,Sandal,Karnataka,Bhind,693251,61,Chauhan Chowk,+919575190589,2024-04-24
185,2780479,Riya,Wagle,Manipur,Bidar,064151,93/803,Wagle Street,00595165382,2023-02-03
186,2549028,Vaibhav,Chaudhry,Jharkhand,Dhanbad,944050,28,Sangha Ganj,+911571256131,2023-06-24
187,2554675,Shayak,Bains,Kerala,Faridabad,792189,32,Balan Ganj,05936443746,2024-01-11
188,2561840,Hazel,Chahal,Nagaland,Ongole,851553,53/597,De Street,05303835170,2024-06-04
189,2771046,Taran,Lata,Tamil Nadu,Aligarh,852537,H.No. 879,Tiwari Nagar,09951736620,2023-06-11
190,2765568,Ritvik,Garde,Sikkim,Bongaigaon,808170,H.No. 16,Mahajan Path,00922929199,2023-10-18
191,2756678,Vaibhav,Luthra,Rajasthan,Muzaffarpur,964769,868,Goswami,4984844350,2023-12-21
192,2757265,Taran,Wali,Bihar,Tumkur,419485,102,Sankaran Chowk,8986084040,2024-06-09
193,2597897,Divit,Balakrishnan,Telangana,Bhimavaram,219532,296,Sule Nagar,1120362762,2023-08-03
194,2564664,Zoya,Bahl,Rajasthan,Maheshtala,146574,617,Atwal Nagar,+914841789652,2024-03-08
195,2750640,Chirag,Mammen,Haryana,Tirupati,408603,92/15,Gokhale Chowk,09975103176,2023-07-19
196,2526699,Hunar,Sampath,Uttarakhand,Dharmavaram,664752,264,Bhatnagar Road,2397125382,2024-03-04
197,2931157,Amira,Badami,Punjab,Srinagar,109748,H.No. 570,Tailor Path,09108155417,2023-05-22
198,2729794,Neysa,Ganguly,Uttarakhand,Bhubaneswar,145318,88/22,Vohra Road,03059044493,2023-05-10
199,2877388,Kavya,Subramaniam,Haryana,Morena,701579,78/573,Sarin Chowk,00227825171,2023-06-24
200,2803481,Darshit,Sachar,Kerala,Naihati,873508,82/918,Kota Ganj,7628368044,2023-09-09
201,2939747,Ojas,Thakkar,Haryana,Rourkela,537404,190,Kuruvilla Street,02650957895,2022-07-30
202,2864863,Vidur,Suresh,Sikkim,Bardhaman,908171,512,Cheema Circle,+910245228986,2023-11-27
203,2694742,Yuvraj ,Apte,Haryana,Ahmednagar,415040,925,Shah,02779977877,2022-11-18
204,2520403,Hrishita,Choudhury,Karnataka,Gopalpur,564395,51/65,Khare Circle,2400802039,2022-09-28
205,2895073,Nayantara,Vasa,Goa,Raurkela Industrial Township,654546,H.No. 77,Thaker Ganj,06915211944,2022-09-23
206,2798754,Prerak,Bala,Uttarakhand,Surendranagar Dudhrej,882538,898,Verma Nagar,7540833698,2023-03-15
207,2687586,Parinaaz,Raja,Haryana,Nagaon,949035,H.No. 697,Luthra Ganj,03960723059,2022-07-01
208,2791038,Nitya,Yadav,Uttar Pradesh,Bhavnagar,005704,84/386,Ramakrishnan Circle,9373828560,2023-07-09
209,2987535,Rania,Mahal,Sikkim,Malegaon,208659,68/18,Shroff Chowk,+919064358994,2022-07-12
210,2611050,Advika,Ravi,West Bengal,Hubli–Dharwad,695420,905,Raj Path,+913435491158,2024-06-11
211,2853606,Anvi,Borra,Tamil Nadu,Ongole,175538,07,Garde Nagar,03923097751,2024-03-11
212,2500698,Rhea,Dugar,Punjab,Mumbai,210832,38/973,Lad Street,+913184805990,2024-01-17
213,2997997,Ela,Ratta,Himachal Pradesh,Kamarhati,492128,H.No. 88,Korpal Street,+912663934963,2022-07-26
214,2794005,Jayan,Rastogi,Odisha,Ballia,133068,40/649,Roy Chowk,5634032657,2023-10-26
215,2678318,Ishita,Dora,Bihar,Ahmedabad,070021,H.No. 317,Buch Ganj,+919607846072,2023-10-18
216,2629729,Nitara,Shere,Bihar,Sasaram,932535,01/47,Dutt Circle,04009089299,2023-01-05
217,2996635,Riaan,Sarkar,Uttarakhand,Durgapur,564693,37/29,Barad Path,05791089598,2022-09-28
218,2765945,Sahil,Sarin,Nagaland,Rajahmundry,566117,H.No. 080,Sabharwal Ganj,5723255653,2023-08-04
219,2661134,Dharmajan,Mall,Chhattisgarh,Nadiad,343474,H.No. 25,Kibe Zila,+910330055117,2022-09-26
220,2889117,Piya,Balasubramanian,Goa,Chandigarh,510298,H.No. 72,Rout Marg,05205107888,2023-02-28
221,2654041,Aarush,Rajan,Manipur,Erode,610351,65,Salvi,0394082154,2024-06-11
222,2586404,Nehmat,Iyengar,Uttar Pradesh,Korba,433033,103,Gera Marg,8801103739,2022-09-26
223,2885308,Nakul,Karnik,Mizoram,Pudukkottai,740190,H.No. 267,Kumer Street,5649561614,2023-01-15
224,2854531,Tushar,Cheema,Goa,Rampur,372563,59/649,Varty Chowk,5531783176,2024-04-08
225,2611110,Anika,Saraf,Chhattisgarh,Tadepalligudem,612090,794,Magar Path,00372846103,2022-12-04
226,2935597,Prisha,Kata,Assam,Mumbai,777922,H.No. 22,Krishna,08226720829,2024-02-08
227,2595406,Rohan,Mannan,Gujarat,Kolhapur,892596,81,Brar Circle,00751791539,2023-08-20
228,2748070,Ranbir,Khatri,Telangana,Bidar,929792,41/488,Dara Marg,07589666071,2024-01-29
229,2657573,Elakshi,Walia,West Bengal,Deoghar,461312,06,Srinivasan Marg,01144441501,2023-05-08
230,2642350,Kavya,Bal,Uttar Pradesh,Barasat,397213,018,Rajan Nagar,3699661599,2023-01-04
231,2548243,Anahita,Ghose,Tamil Nadu,Ambattur,176031,520,Venkataraman Nagar,6854140769,2022-10-04
232,2884550,Aarush,Guha,Punjab,Gandhinagar,883963,44,Chaudhari Road,+917001232473,2024-04-11
233,2864572,Indranil,Verma,Karnataka,Salem,364818,89/097,Malhotra Road,2095559747,2023-03-13
234,2503415,Aradhya,Varghese,Kerala,Parbhani,986059,H.No. 235,Rajan Nagar,7266157684,2023-12-03
235,2731827,Ryan,Chakraborty,Andhra Pradesh,Hosur,451572,H.No. 080,Wagle Circle,+914589126804,2022-09-18
236,2623549,Himmat,Rana,Chhattisgarh,Morena,284590,258,Loyal Road,9937904832,2023-12-12
237,2500184,Diya,Ramesh,Punjab,Jalandhar,173358,15/994,Vohra Zila,05590810778,2022-12-24
238,2694684,Charvi,Lal,Karnataka,Naihati,615621,H.No. 65,Dass Road,+916040494157,2023-12-12
239,2766231,Miraya,Vohra,Manipur,Srikakulam,657620,H.No. 65,Ray Street,01404855181,2023-05-28
240,2663487,Alisha,Ganguly,Jharkhand,Thiruvananthapuram,510929,01/656,Gandhi Street,04713963426,2024-05-13
241,2872162,Prerak,Sem,Manipur,Saharanpur,973198,33/548,Bhat Road,+911572548544,2023-08-05
242,2621289,Uthkarsh,Saini,Mizoram,Akola,334054,36/730,Bahl Zila,+917686772687,2024-03-04
243,2507507,Taimur,Tata,Andhra Pradesh,Mango,895969,35,Sarna Circle,03023377739,2023-06-01
244,2609507,Rati,Gill,Assam,Satara,260236,H.No. 683,Gill Ganj,+917728013779,2023-04-19
